url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.agriculture.com/news/crops/2019-weather-floods-delays-and-disease-oh-my,,"2019 Weather : Floods , Delays , and Disease , Oh My ! ",20200104T164500Z,https://images.agriculture.mdpcdn.com/sites/default/files/styles/width_550/public/image/2016/03/28/FloodedCornField1-MediumShot.jpg,agriculture.com,English,United States
https://skepticalscience.com/doubling-down-researchers-compound-climate-risks.html,,Doubling down : Researchers investigate compound climate risks,20200106T073000Z,http://www.skepticalscience.com/images/_core/head/button_sks2_200.jpg,skepticalscience.com,English,United States
https://www.businessinsider.com/places-most-affected-by-extreme-weather-events-2020-1,https://amp.businessinsider.com/places-most-affected-by-extreme-weather-events-2020-1,The 15 places hardest hit by natural disasters in the past 20 years,20200102T181500Z,https://image.businessinsider.com/5e0e1cd5855cc25d9c325293?&format=jpeg,businessinsider.com,English,United States
http://www.startribune.com/2019-was-a-year-of-record-precipitation-and-some-very-cold-days/566657551/,http://m.startribune.com/2019-was-a-year-of-record-precipitation-and-some-very-cold-days/566657551/,2019 was a year of record precipitation and some very cold days,20200110T161500Z,https://stmedia.stimg.co/Weather+07.JPG?&fit=crop&bg=999&crop=faces,startribune.com,English,United States
http://www.startribune.com/even-by-minnesota-standards-2019-was-a-wild-weather-year/566657551/,http://m.startribune.com/even-by-minnesota-standards-2019-was-a-wild-weather-year/566657551/,"Even by Minnesota standards , 2019 was a wild weather year",20200110T183000Z,https://stmedia.stimg.co/Weather+07.JPG?&fit=crop&bg=999&crop=faces,startribune.com,English,United States
https://uk.reuters.com/article/us-usa-grains-braun/column-ag-traders-brace-for-avalanche-of-usda-data-on-friday-idUKKBN1Z917J,https://uk.mobile.reuters.com/article/amp/idUKKBN1Z917J,Column : Ag traders brace for avalanche of USDA data on Friday,20200110T123000Z,https://s2.reutersmedia.net/resources/r/?m=02&d=20200110&t=2&i=1474620081&r=LYNXMPEG090QE,uk.reuters.com,English,United States
https://blogs.scientificamerican.com/eye-of-the-storm/earths-40-billion-dollar-weather-disasters-of-2019-4th-most-on-record/,,Earth 40 Billion - Dollar Weather Disasters of 2019 : 4th Most on Record,20200123T000000Z,https://static.scientificamerican.com/blogs/cache/file/81C4EDEC-0AE2-4E78-A957651C293F7C94.jpg,blogs.scientificamerican.com,English,United States
https://blogs.scientificamerican.com/eye-of-the-storm/earths-40-billion-dollar-weather-disasters-of-2019-4th-most-billion-dollar-events-on-record/,,Earth $40 - Billion Weather Disasters of 2019 : 4th Most Billion - Dollar Events on Record,20200123T183000Z,https://static.scientificamerican.com/blogs/cache/file/81C4EDEC-0AE2-4E78-A957651C293F7C94.jpg,blogs.scientificamerican.com,English,United States
https://phys.org/news/2020-01-nasa-vapor-imagery-tino-heavy.html,https://phys.org/news/2020-01-nasa-vapor-imagery-tino-heavy.amp,NASA water vapor imagery shows Tino heavy rain potential over Fiji,20200117T194500Z,https://scx2.b-cdn.net/gfx/news/2020/nasawatervap.jpg,phys.org,English,United States
https://www.news-gazette.com/blogs/weather-front/a-rather-mild-january-pattern-across-the-corn-belt/article_27f8e44e-3eb9-11ea-91e8-5cb9017bff17.html,,A rather mild January pattern across the Corn Belt,20200129T063000Z,https://bloximages.newyork1.vip.townnews.com/news-gazette.com/content/tncms/assets/v3/editorial/2/7b/27befd88-3eb9-11ea-91e6-5cb9017bff17/5e2b04b27944e.image.png,news-gazette.com,English,United States
https://www.msn.com/en-au/news/australia/quick-thinking-driver-saves-train-from-flood-disaster/ar-BBZnFeR,,Quick thinking driver saves train from flood disaster,20200127T231500Z,,msn.com,English,United States
https://www.wjhg.com/content/news/Severe-weather-awareness-week-Hurricanes-and-flooding-471141983.html,,Severe Weather Awareness Week : Hurricanes and Flooding,20200131T060000Z,https://media.graytvinc.com/images/hurricane+background.JPG,wjhg.com,English,United States
http://news.trust.org/item/20200208014524-v60gd,http://mercury.postlight.com/amp?url=http://news.trust.org/item/20200208014524-v60gd/,Cyclone barrels towards Australia west coast with damaging ... ,20200208T030000Z,"https://d2sh4fq2xsdeg9.cloudfront.net/contentAsset/image/d8751538-5d91-4fc6-911e-dfecab9039f5/image/byInode/1/filter/Resize,Jpeg/jpeg_q/70/resize_w/1400",news.trust.org,English,United States
https://in.reuters.com/article/australia-cyclone-idINKCN202036,https://in.mobile.reuters.com/article/amp/idINKCN202036,Cyclone barrels towards Australia west coast with damaging winds,20200208T024500Z,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,in.reuters.com,English,United States
https://in.reuters.com/article/australia-cyclone/cyclone-barrels-towards-australias-west-coast-with-damaging-winds-idINKCN202036,https://in.mobile.reuters.com/article/amp/idINKCN202036,Cyclone barrels towards Australia west coast with damaging winds,20200208T033000Z,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,in.reuters.com,English,United States
https://www.sott.net/article/429132-Australia-Floods-in-southern-Queensland-as-rivers-rise,,Australia : Floods in southern Queensland as rivers rise -- Earth Changes -- Sott . net,20200213T204500Z,https://www.sott.net/image/s27/556802/full/Jandowae_floods_Queensland_12_.jpg,sott.net,English,United States
http://www.msn.com/en-nz/news/national/north-island-drought-stricken-while-south-island-braces-for-cyclone/ar-BBZZ3n8,,North Island drought - stricken while South Island braces for cyclone,20200214T064500Z,,msn.com,English,United States
https://www.washingtonpost.com/weather/2020/02/16/storm-dennis-severe-flooding-bomb-cyclone/,https://www.washingtonpost.com/weather/2020/02/16/storm-dennis-severe-flooding-bomb-cyclone/?outputType=amp,Storm Dennis : 2nd - strongest bomb cyclone in North Atlantic causes severe flooding,20200216T220000Z,https://www.washingtonpost.com/resizer/AIlMmUHR55k0gjTZwr7IjnLMrRU=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/HKII5WCQ4EI6VAGOG6UNIJTMBE.jpg,washingtonpost.com,English,United States
https://www.dtnpf.com/agriculture/web/ag/news/article/2020/02/18/favorable-brazil-harvest-pattern,,Favorable Brazil Harvest Pattern,20200218T174500Z,,dtnpf.com,English,United States
https://www.cnbc.com/2020/02/21/reuters-america-grains-prices-subdued-as-market-weighs-uncertain-chinese-demand.html,https://www.cnbc.com/amp/2020/02/21/reuters-america-grains-prices-subdued-as-market-weighs-uncertain-chinese-demand.html,GRAINS - Prices subdued as market weighs uncertain Chinese demand,20200221T130000Z,,cnbc.com,English,United States
https://www.newsweek.com/hurricane-harvey-worst-extreme-weather-event-us-last-decade-1487659,https://www.newsweek.com/hurricane-harvey-worst-extreme-weather-event-us-last-decade-1487659?amp=1,"Hurricane Harvey Was Most Extreme Weather Event to Strike U . S . Last Decade , Report Finds",20200218T053000Z,https://d.newsweek.com/en/full/1567670/hurricane-harvey-flooding.jpg,newsweek.com,English,United States
https://www.inforum.com/news/2777786-good-weather-aids-record-corn-crop,,Good weather aids record corn crop,20200301T024500Z,,inforum.com,English,United States
https://brownfieldagnews.com/market-news/corn-establishes-new-contract-lows/,,Corn establishes new contract lows - Brownfield Ag News,20200228T030000Z,https://brownfieldagnews.com/wp-content/uploads/2020/02/CommodityMarkets400x400-2.jpg,brownfieldagnews.com,English,United States
